"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0100000US","United States","120756048","236892","77274381","377633","43481667","144458",
"0500000US17019","Champaign County, Illinois","82369","818","43636","839","38733","895",
"1400000US17019000200","Census Tract 2, Champaign County, Illinois","701","92","273","68","428","88",
"1400000US17019000301","Census Tract 3.01, Champaign County, Illinois","2055","191","0","16","2055","191",
"1400000US17019000302","Census Tract 3.02, Champaign County, Illinois","1530","206","0","11","1530","206",
"1400000US17019000401","Census Tract 4.01, Champaign County, Illinois","480","70","0","16","480","70",
"1400000US17019000402","Census Tract 4.02, Champaign County, Illinois","1329","135","0","11","1329","135",
"1400000US17019000500","Census Tract 5, Champaign County, Illinois","1994","185","730","144","1264","169",
"1400000US17019000700","Census Tract 7, Champaign County, Illinois","1326","136","722","121","604","133",
"1400000US17019000800","Census Tract 8, Champaign County, Illinois","2831","178","849","147","1982","181",
"1400000US17019000901","Census Tract 9.01, Champaign County, Illinois","1958","186","652","137","1306","200",
"1400000US17019000902","Census Tract 9.02, Champaign County, Illinois","2871","164","1596","178","1275","210",
"1400000US17019001000","Census Tract 10, Champaign County, Illinois","1926","182","1072","144","854","219",
"1400000US17019001100","Census Tract 11, Champaign County, Illinois","1674","91","1234","111","440","107",
"1400000US17019001201","Census Tract 12.01, Champaign County, Illinois","2853","213","1292","200","1561","234",
"1400000US17019001203","Census Tract 12.03, Champaign County, Illinois","1946","111","1456","139","490","115",
"1400000US17019001204","Census Tract 12.04, Champaign County, Illinois","1321","92","1039","79","282","97",
"1400000US17019001205","Census Tract 12.05, Champaign County, Illinois","2899","206","1886","184","1013","227",
"1400000US17019001206","Census Tract 12.06, Champaign County, Illinois","884","94","777","90","107","33",
"1400000US17019001301","Census Tract 13.01, Champaign County, Illinois","2788","180","1790","145","998","172",
"1400000US17019001302","Census Tract 13.02, Champaign County, Illinois","2062","147","1491","136","571","107",
"1400000US17019001400","Census Tract 14, Champaign County, Illinois","1678","135","741","113","937","129",
"1400000US17019005300","Census Tract 53, Champaign County, Illinois","2429","260","405","118","2024","254",
"1400000US17019005401","Census Tract 54.01, Champaign County, Illinois","2354","191","809","174","1545","215",
"1400000US17019005402","Census Tract 54.02, Champaign County, Illinois","1571","165","1234","157","337","154",
"1400000US17019005500","Census Tract 55, Champaign County, Illinois","2159","186","1452","188","707","142",
"1400000US17019005600","Census Tract 56, Champaign County, Illinois","3092","212","1675","184","1417","209",
"1400000US17019005701","Census Tract 57.01, Champaign County, Illinois","2359","172","1251","148","1108","163",
"1400000US17019005702","Census Tract 57.02, Champaign County, Illinois","1690","107","726","87","964","114",
"1400000US17019005800","Census Tract 58, Champaign County, Illinois","1587","137","840","96","747","133",
"1400000US17019005900","Census Tract 59, Champaign County, Illinois","1131","146","64","28","1067","139",
"1400000US17019006000","Census Tract 60, Champaign County, Illinois","731","87","9","8","722","87",
"1400000US17019010100","Census Tract 101, Champaign County, Illinois","2098","246","932","201","1166","189",
"1400000US17019010204","Census Tract 102.04, Champaign County, Illinois","1709","150","1137","149","572","139",
"1400000US17019010300","Census Tract 103, Champaign County, Illinois","1118","132","311","83","807","126",
"1400000US17019010400","Census Tract 104, Champaign County, Illinois","1884","85","1477","80","407","63",
"1400000US17019010500","Census Tract 105, Champaign County, Illinois","1685","111","1475","110","210","70",
"1400000US17019010601","Census Tract 106.01, Champaign County, Illinois","2146","107","1741","146","405","121",
"1400000US17019010603","Census Tract 106.03, Champaign County, Illinois","2641","154","2211","164","430","138",
"1400000US17019010604","Census Tract 106.04, Champaign County, Illinois","1046","87","757","88","289","78",
"1400000US17019010700","Census Tract 107, Champaign County, Illinois","2878","170","2481","143","397","118",
"1400000US17019010800","Census Tract 108, Champaign County, Illinois","1789","97","1583","97","206","54",
"1400000US17019010900","Census Tract 109, Champaign County, Illinois","3533","249","2872","235","661","165",
"1400000US17019011000","Census Tract 110, Champaign County, Illinois","2552","233","544","150","2008","232",
"1400000US17019011100","Census Tract 111, Champaign County, Illinois","1081","124","50","30","1031","125",
