year,table_code,source_type,row_count,column_count,output_file
2019,B19013,DT,43,14,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b19013_raw.csv
2019,B25003,DT,43,18,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b25003_raw.csv
2019,B25070,DT,43,34,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b25070_raw.csv
2019,S1101,ST,43,192,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1101_raw.csv
2021,B19013,DT,48,14,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_b19013_raw.csv
2021,B25003,DT,48,18,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_b25003_raw.csv
2021,B25070,DT,48,34,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_b25070_raw.csv
2021,S1101,ST,48,202,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_s1101_raw.csv
2022,B19013,DT,48,14,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b19013_raw.csv
2022,B25003,DT,48,18,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b25003_raw.csv
2022,B25070,DT,48,34,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_b25070_raw.csv
2022,S1101,ST,48,202,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2022\stg_acs_2022_s1101_raw.csv
2023,B19013,DT,48,14,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_b19013_raw.csv
2023,B25003,DT,48,18,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_b25003_raw.csv
2023,B25070,DT,48,34,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_b25070_raw.csv
2023,S1101,ST,48,202,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2023\stg_acs_2023_s1101_raw.csv
